,station_coords,station_names
16318,"'118.794271,32.094835'",安怀村东
16319,"'118.795955,32.093404'",黄家圩
16321,"'118.788781,32.089759'",中央门东
16324,"'118.784035,32.078529'",玄武湖隧道
16325,"'118.784033,32.072604'",玄武湖公园
16326,"'118.784029,32.060198'",中央路·鼓楼
16328,"'118.784041,32.051984'",中山路·珠江路北
16330,"'118.786793,32.041536'",新街口东
16331,"'118.792652,32.041094'",大行宫西
16332,"'118.793083,32.035839'",杨公井
16333,"'118.792382,32.033643'",太平南路·常府街
16334,"'118.791033,32.029477'",太平南路·白下路
16335,"'118.789562,32.025122'",太平南路·夫子庙
17206,"'118.871936,31.733394'",南京禄口机场T1航站楼
17207,"'118.876482,31.731176'",南京禄口机场T2航站楼
17208,"'118.795686,31.927934'",翠屏山宾馆
17209,"'118.78498,31.992397'",雨花广场
17210,"'118.796833,32.009883'",秦虹桥
17211,"'118.800115,32.019717'",七里街
17212,"'118.80345,32.036282'",龙蟠中路逸仙桥
17213,"'118.798867,32.084089'",南京火车站东广场
17270,"'118.862365,31.32135'",水产市场
17271,"'118.865139,31.32036'",玉泉广场
17272,"'118.869626,31.318199'",高淳老街
17273,"'118.876323,31.317807'",雅园
17274,"'118.878901,31.319321'",牛头山
17275,"'118.881323,31.319352'",商唐
17276,"'118.882917,31.31974'",纺机厂
17277,"'118.882391,31.322904'",高淳宾馆
17278,"'118.882331,31.327461'",华润苏果
17279,"'118.882535,31.332088'",三中
17284,"'118.896211,31.332591'",长途车站
17285,"'118.895973,31.328867'",卫生局
17286,"'118.899786,31.328074'",淳辉中学
17287,"'118.902305,31.327435'",波塔东郡西
17288,"'118.904232,31.325087'",宝塔小学
17289,"'118.909067,31.323446'",市民中心东
17290,"'118.913277,31.332161'",双湖南路
17291,"'118.915381,31.336696'",体育中心
17292,"'118.919367,31.336101'",双塔医院
17293,"'118.922349,31.334918'",管家郡
17294,"'118.924267,31.334153'",临时站
17295,"'118.926495,31.333244'",河城村北
17296,"'118.936406,31.329405'",城东村
17297,"'118.941849,31.327791'",驼头村
17298,"'118.971011,31.311918'",固城加油站
17299,"'118.972575,31.310582'",固城街道
18173,"'118.876311,31.317802'",雅园
18174,"'118.878168,31.3201'",湖滨花苑
18175,"'118.877733,31.32248'",温州商贸城东
18176,"'118.877305,31.325096'",水务局
18177,"'118.877388,31.327186'",老鸦窠
18178,"'118.877589,31.330229'",红太阳广场
18185,"'118.896723,31.33873'",御沁园
18186,"'118.900703,31.341297'",义仓
18187,"'118.904043,31.341805'",姜家
18188,"'118.91071,31.344476'",双湖壹号公馆
18189,"'118.914576,31.349625'",临时站
18190,"'118.917607,31.352645'",松园路口
18191,"'118.921163,31.355777'",下塘
18192,"'118.925703,31.360343'",花园大道路口
18193,"'118.929601,31.36401'",骆村赵家
